#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
97,"7 Seconds","Joezi,Coco,Pape Diouf",66,124,"","","7 Seconds",2023-04-07,05:15,68,65,0,2,14,0,10,-10,C♯/D♭ Minor,4,2023-07-23,0oTlIKCkZIoDlNR6TMZsGn,"Madorasindahouse Records",12A,https://p.scdn.co/mp3-preview/a144ee95d04ce0fb40160dd890a60dcb2a75cc9e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485167d197342e675914daa3115e
98,"Paradis bleu","Revers Gagnant,Matild",49,115,"new french touch, ","Electronic","Paradis bleu",2019-05-03,03:57,76,58,65,30,20,0,10,-10,F Minor,4,2023-07-24,0iLicFNAMT18xb36wBrRNl,"Riptide Records",4A,https://p.scdn.co/mp3-preview/a2f418960fe7f614556ed03c9e489418d3876dac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c2d807c0d8d703b601425f81
99,"Something Hides","Ouhana,Audae",26,92,"ethnotronica, ","Electronic","Something Hides",2023-06-02,05:28,79,28,44,92,16,0,10,-13,D Major,4,2023-07-27,1dY48SI9T89hkHvo1GSGp7,"BeYond Collective",10B,https://p.scdn.co/mp3-preview/eccb39f6bd031eae3ab7de9e3a16fc3e403f0319?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485129809e0a8b103a48ac13e7ec
100,"Because You Move Me - Extended Mix","Tinlicker,Helsloot",44,123,"melodic house, house","Electronic","Because You Move Me",2017-07-31,07:19,88,37,47,2,14,10,10,-10,F Major,4,2023-08-06,5evn5af0qETDoSwqfOWP7M,"Armada Electronic Elements",7B,https://p.scdn.co/mp3-preview/7c71a2dc6cf4c9ceec542f7431ad7564361c4043?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb374047939e66e4dcfb2492
101,"Home","Adriatique,Marino Canal,Delhia De France",61,120,"deep disco house, melodic techno, swiss house, melodic house, ","Electronic","Home",2020-05-29,05:30,61,77,33,22,5,0,30,-6,D Minor,4,2023-08-07,6jYXP1jrYIHkEYglFgeL2Q,"Siamese",7A,https://p.scdn.co/mp3-preview/0a0b22cbbf4439c02a66beffec99a9ee83677acf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c440c427668303a3354e4fd8
102,"You Can Dance Now","Liva K",48,120,"melodic house","Electronic","You Can Dance Now",2023-04-28,04:04,67,97,1,96,28,0,10,-9,A#/B♭ Minor,4,2023-08-06,2pCPnTHLdQXaL0AO5faZmR,"Madorasindahouse Records",3A,https://p.scdn.co/mp3-preview/955605583cea0b3e5046279848f972f090542a98?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485180167c06f518bd63df2dfe63
103,"Depth Of Emotions","Elliott Creed",4,122,"australian techno","Hip Hop","Depth Of Emotions",2022-09-23,06:26,77,71,0,88,4,0,0,-11,A#/B♭ Minor,4,2023-08-06,5z9FJSsdQUI5mrtU6vOXFt,"DIT KLINGT JUT",3A,https://p.scdn.co/mp3-preview/cb45aad72cf74020e139a15dba1f33b797c1c372?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1d99eb4329f41f8b0e090e3
104,"Forever","Avangart Tabldot",10,123,"","","My God, You Never Loved Me",2023-03-18,06:07,60,70,0,89,10,0,10,-10,B Minor,4,2023-08-06,3ndhp4jSPN59E6h3eoBRNW,"Crib Records",10A,https://p.scdn.co/mp3-preview/4e5b1b54e95aadda170c6a65f937a8c658ab67e8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851256acf08d9fefa17043b1e97
105,"Codeine","Mandragora",58,140,"brazilian edm, mexican edm, trance mexicano","Electronic","Disc 1",2018-07-30,05:29,50,53,2,35,5,0,30,-9,C♯/D♭ Minor,4,2023-08-07,1AQH4K1OX1KHbTt5ojMonp,"Alien Records",12A,https://p.scdn.co/mp3-preview/7d0f471a26c4d947e3662bf67853334726f51a55?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512f70bac829f9802be1963035
106,"Sem Voce, Sou Ninguem","Mandragora",51,136,"brazilian edm, mexican edm, trance mexicano","Electronic","Sem Voce, Sou Ninguem",2018-10-24,04:19,49,45,18,35,14,0,10,-8,B Minor,4,2023-08-07,39vokRBOVdnTwRbIOadhqp,"Mad Russian Collection",10A,https://p.scdn.co/mp3-preview/be624982e654afbc4e50507c7312ad77621b0187?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485160dad79b893bd4922667dd5a
107,"Remembrance - Main Mix","ANNA",19,127,"brazilian techno, dark techno, electra, minimal techno","Electronic, Pop","Speicher 105",2018-10-05,05:41,72,89,47,91,4,0,10,-10,A Minor,4,2023-08-07,5YBF6ws2TJHND78c9LVmgC,"Kompakt Extra",8A,https://p.scdn.co/mp3-preview/11354696493b5b18da268fa8e8e3f8c55058c5ef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485164439b9e3d5eee807503842e
108,"You Shine - Original mix","Giorgia Angiuli",0,124,"italian techno, puglia indie","Electronic, Latin","You Shine EP",2019-10-11,06:43,66,64,1,71,23,0,0,-13,C♯/D♭ Minor,4,2023-08-07,2UcVfsMkqwmOWewsRBPVvX,"Warung Recordings",12A,,https://i.scdn.co/image/ab67616d000048515f32f69a346b4c87141e7c4d
109,"Movimento","Trikk",20,119,"deep techno, portuguese techno","Electronic","Secret Weapons Part 12",2020-02-07,05:26,79,65,3,89,4,10,10,-12,C♯/D♭ Major,4,2023-08-07,1KGNT7hMVR4rV3HqpNzHjO,"Innervisions",3B,https://p.scdn.co/mp3-preview/fd882e29a78e3bb5ac7d52d0e59a600f8f714b70?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485175e17efa46ffb319ee23904c
110,"Boavista","Stephan Bodzin",33,124,"deep techno, german techno, minimal techno","Electronic","Boavista",2021-08-20,07:37,65,63,14,92,14,0,0,-13,G#/A♭ Major,3,2023-08-07,5XWtnEDX7CJC9yK6F7KeK6,"Afterlife",4B,,https://i.scdn.co/image/ab67616d00004851e73e8193eb3a300f740152b5
111,"Alter Ego","NTO",52,123,"deep euro house, minimal melodic techno, new french touch","Electronic","Alter Ego",2018-08-17,07:24,72,53,1,74,27,0,0,-9,F#/G♭ Major,4,2023-08-07,18MlLrfCkYOnKutil99GwY,"Hungry Music",2B,https://p.scdn.co/mp3-preview/6ae7c664e31df87894c1ca9662ee526bbb6e05cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485131df6c2b01c79be44601410c
112,"Carrousel - Short Version","NTO",54,121,"deep euro house, minimal melodic techno, new french touch","Electronic","Carrousel (Short Version)",2017-04-07,04:17,66,43,4,88,15,0,10,-13,E Major,4,2023-08-07,5WL6VbqrAs7qYsMkCvShoN,"Hungry Music",12B,https://p.scdn.co/mp3-preview/f168adef4555a53c8b7f22bc6a72b328b0c7ad3c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c87168eeaa5e8b72c251a37
