#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
76,"Paradies","Ufo361,RAF Camora",0,136,"german cloud rap, german hip hop","Hip Hop","VVS",2018-08-17,03:51,75,49,35,0,24,10,10,-8,A#/B♭ Minor,4,2023-09-25,2kx7rcukcL50UysnBiWJxf,"Stay High",3A,,https://i.scdn.co/image/ab67616d0000485111a53c17aad1a9167250a805
77,"Don't Lose Me","Offset",56,125,"atl hip hop, hip hop, pop rap, rap, trap","Hip Hop","FATHER OF 4",2019-02-22,03:20,88,49,67,0,15,0,30,-7,A#/B♭ Minor,4,2023-09-25,71Hr2rAhEI92BSpFYbzNN7,"Quality Control Music/Motown Records",3A,,https://i.scdn.co/image/ab67616d000048517028679269dc6a5a29ce8f36
78,"No Heart","21 Savage,Metro Boomin",76,140,"atl hip hop, hip hop, rap","Hip Hop","Savage Mode",2016-07-15,03:55,91,44,14,0,68,30,10,-9,E Minor,4,2023-09-25,4gmmRb6bZJffOOiww1JGTO,"Slaughter Gang, LLC",9A,https://p.scdn.co/mp3-preview/117a84c65c137bf12d5dbe28dd8a8700a6ac50e7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512dd1ac4a61495080ef8f78ca
79,"Red Opps","21 Savage",65,141,"atl hip hop, hip hop, rap","Hip Hop","Red Opps",2016-05-15,02:43,70,71,1,0,57,40,10,-6,A Major,4,2023-09-25,3cqZH3cqvfbV8wVbvHyPbG,"Slaughter Gang LLC",11B,https://p.scdn.co/mp3-preview/d1863531ee9d1dd7d792166f39d66f2fcf915f9f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197395a87de438f1a2312f263
80,"Ghostface Killers (feat. Travis Scott)","21 Savage,Offset,Metro Boomin,Travis Scott",74,83,"atl hip hop, hip hop, rap, pop rap, trap, slap house","Hip Hop, Electronic","Without Warning",2017-10-30,04:28,78,44,33,0,24,10,30,-7,D Major,4,2023-09-25,5u6vkDnOyaf8LsteDAj2ub,"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",10B,https://p.scdn.co/mp3-preview/552ef752419042c2bc4f38ab681841959c9f17de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510db43130a9aaa7bae56967ed
81,"GHOST","Jaden,Christian Rich",54,148,"pop rap, rap, ","Hip Hop","GHOST",2018-06-22,02:09,78,53,14,5,25,10,20,-7,C♯/D♭ Major,4,2023-09-25,0aWMostcnfyjuCEcO7sTz5,"MSFTSMusic / Roc Nation Records, LLC",3B,,https://i.scdn.co/image/ab67616d00004851f8c8ecc877fd4146e0cd3b18
82,"WARSAW (feat. 2forwOyNE)","Jack Harlow,2forwOyNE",58,98,"deep underground hip hop, kentucky hip hop, pop rap, rap","Hip Hop","Confetti",2019-09-20,03:07,92,53,5,0,69,0,0,-6,F Minor,4,2023-09-25,2ihL1KGMA0geIqGT5pkZzo,"Generation Now/Atlantic",4A,https://p.scdn.co/mp3-preview/89e8509868fa86cf769383104ec60f2adb195ef1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485157c38b379fbaa7bfef03934d
83,"Cafeteria (feat. Gunna)","CHASE B,Don Toliver,Gunna",54,140,"trap, pop rap, rap, atl hip hop, melodic rap","Hip Hop","Cafeteria (feat. Gunna)",2020-07-24,03:34,70,67,13,0,58,0,30,-6,F#/G♭ Minor,4,2023-09-25,7l28SBHS3zmKDVnOzG8BM7,"Columbia",11A,https://p.scdn.co/mp3-preview/e11e340d48e945d920e1eb529bb50cec08187fec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517e2187a878233d88c7145fca
84,"Money Trees","Kendrick Lamar,Jay Rock",73,72,"conscious hip hop, hip hop, rap, west coast rap, southern hip hop, trap","Hip Hop","good kid, m.A.A.d city (Deluxe)",2012-10-22,06:26,72,53,7,0,34,10,20,-7,G Major,4,2023-09-25,0UtnpKaReKUg2GquaSxCyD,"Aftermath",9B,,https://i.scdn.co/image/ab67616d0000485178de8b28de36a74afc0348b5
85,"SLS","OBOY",39,154,"french hip hop, pop urbaine, rap francais","Hip Hop, World/Traditional","Southside",2018-03-16,02:30,77,53,11,0,34,10,10,-10,C♯/D♭ Major,4,2023-09-25,3su8zlfiJRrC2QKpX3LilN,"SYNDICATE RECORDS",3B,https://p.scdn.co/mp3-preview/7a80402824fe27d239ce183c0d1c750e975573b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123200b72d883ffe607a4e74d
86,"Perry Aye (feat. A$AP Rocky, A$AP Nast, Playboi Carti & Jaden Smith)","A$AP Mob,A$AP Rocky,A$AP NAST,Playboi Carti,Jaden",52,118,"hip hop, rap, southern hip hop, trap, east coast hip hop, harlem hip hop, atl hip hop, plugg, pluggnb, rage rap, pop rap","Hip Hop","Cozy Tapes Vol. 2: Too Cozy",2017-08-25,02:26,92,54,5,0,20,0,10,-6,F Minor,4,2023-09-25,0PDwNx6GrHc5sRVy6Hc7GP,"A$AP Worldwide/Polo Grounds Music/RCA Records",4A,https://p.scdn.co/mp3-preview/d65eb01932a6b283ad1040762ece9bcfd3d0d514?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515522025c7f727c540839f7d5
87,"Potato Salad","Tyler, The Creator,A$AP Rocky",73,168,"hip hop, rap, east coast hip hop, trap","Hip Hop","Potato Salad",2018-09-28,03:02,54,61,31,0,68,40,20,-6,D Major,4,2023-09-25,1jzIJcHCXneHw7ojC6LXiF,"Columbia/RCA",10B,https://p.scdn.co/mp3-preview/4bbfab0e31b751d2eb30dc60162d0ac54f107706?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851215cac8c30b47bb1bfb9d2d1
88,"Waves","Kanye West",75,96,"chicago rap, hip hop, rap","Hip Hop","The Life Of Pablo",2016-06-10,03:01,56,59,5,0,7,0,30,-5,A#/B♭ Major,4,2023-09-25,3nAq2hCr1oWsIU54tS98pL,"Rock The World/IDJ/Kanye LP7",6B,,https://i.scdn.co/image/ab67616d000048512a7db835b912dc5014bd37f4
89,"BUSY / SIRENS","Saba,theMIND",54,134,"alternative r&b, chicago rap, indie hip hop","R&B, Hip Hop","CARE FOR ME",2018-04-05,05:29,67,47,47,0,47,30,10,-10,C♯/D♭ Major,4,2023-09-25,4YdRnTnXYwgI48kkzWy6uk,"Saba Pivot, LLC",3B,https://p.scdn.co/mp3-preview/94f8c8ac8b1ace46d9f9b18b4737b849a98ea951?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514bb13f7847252cc829e05aa6
