#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
317,"Boş Yere","Sıla",51,176,"turkish pop","Pop","Konuşmadığımız Şeyler Var",2010-11-29,04:00,61,66,32,0,64,10,10,-6,F#/G♭ Minor,4,2023-12-27,2gZeqcysy8j1FrrBUVdIb8,"SONY MUSIC TURKEY",11A,https://p.scdn.co/mp3-preview/ca712830acf797956c5a7ca42fa0aed8e68e53a8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c7086a44c158a03c28c657ea
318,"Narin Yarim - Remix","Banu Parlak",0,106,"turkish pop, uzbek pop","Pop","Narin Yarim (Remix)",2016-11-10,03:46,68,94,21,0,83,0,10,-3,B Minor,4,2023-12-27,5JLlj9lZHPTeNApZTiXvBt,"Arpej Yapım",10A,,https://i.scdn.co/image/ab67616d000048513d4f8a8f886e48974d6d996f
319,"Yemin Ettim","Tarkan",48,92,"turkish pop","Pop","Kayahan'ın En İyileri 1",2015-01-01,05:03,43,56,8,0,30,0,20,-8,F#/G♭ Minor,4,2023-12-27,7ii6zrdCm5CA9Dy3j3FaOh,"K Majör",11A,https://p.scdn.co/mp3-preview/7c0fa8095b4559df41a21d475b424bce6dfeb1ec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111aead0380c3f5b98e0df77b
320,"Severek Ayrılalım","Ajda Pekkan",30,127,"turkish pop, turkish psych","Pop","Orhan Gencebay ile Bir Ömür, Vol.1",2012-00-00,03:56,59,94,6,0,65,0,20,-4,G Major,4,2023-12-27,4vvZMhnTWnuntCYhrVMRNN,"Poll Production",9B,https://p.scdn.co/mp3-preview/452e3a06ca26f7f5ed9c2d965a58abf544ee5f56?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514dadc70c813bc0413d00a51c
321,"İnanırım","Berkay",44,90,"turkish pop","Pop","Aşk Melekleri",2014-06-01,03:36,51,86,9,0,77,10,10,-4,C♯/D♭ Minor,4,2023-12-27,5ZCvkS7ZKsHhQke59ogGsb,"AVRUPA MÜZİK YAPIM",12A,https://p.scdn.co/mp3-preview/e1e58b603791b23a742b8372236d4e119402fcec?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a0593164a843a71ac4c0aad
322,"Gülün Rengi","Serdar Ortaç",0,94,"turkish pop","Pop","Kara Kedi",2010-05-14,04:24,72,80,25,0,53,20,20,-5,F Minor,4,2023-12-27,1yUynSLdy5a0HLBfwaDDwK,"EMRE GRAFSON MÜZİK",4A,,https://i.scdn.co/image/ab67616d000048511fb3a1d3b989ec4e3962255f
323,"Sor","Serdar Ortaç",0,100,"turkish pop","Pop","Mesafe",2006-04-25,03:55,78,67,15,0,61,0,0,-6,F#/G♭ Major,4,2023-12-27,5Uzxouh00sQqfcUd6I4BnW,"EMRE GRAFSON MÜZİK",2B,,https://i.scdn.co/image/ab67616d000048510cb4e3208bc33bfbe1d875ae
324,"Derine","Murat Dalkılıç",55,125,"turkish pop","Pop","Daha Derine",2014-06-24,04:24,72,85,2,0,76,0,10,-6,C Minor,4,2023-12-27,55CUqmPM8tGtzPt0XRAHtt,"DOĞAN MÜZİK YAPIM",5A,https://p.scdn.co/mp3-preview/8acf0ab8bb2efbe480513d0e1a425da1b5b39daf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ed6689102b7156cb840db066
325,"Uyan","Doğuş",0,91,"turkish pop","Pop","Doğuş",1997-07-29,04:14,67,86,48,3,79,0,0,-7,C♯/D♭ Minor,4,2023-12-27,0FcerTAYM2wPniKyk3Imwi,"ULUS MÜZİK SAN.",12A,,https://i.scdn.co/image/ab67616d000048510e930477145e4ccb16e1e4c5
326,"Bil Diye Söylüyorum","Sibel Can",55,142,"arabesk, turkish folk, turkish pop","Pop, Folk/Acoustic","Hayat",2020-08-14,04:10,70,90,38,0,96,0,10,-4,C♯/D♭ Minor,4,2023-12-27,7DCwqBp1HcEHXbwgVrmQxm,"Sony Music Media",12A,https://p.scdn.co/mp3-preview/b5775828a6fcf8b95422b863d94bcff3c52658e9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf161f9047e7ea372672f2cb
327,"Bize Gidelim","Mustafa Sandal",0,110,"turkish pop","Pop","Suç Bende",1994-07-11,03:28,79,53,1,0,90,0,0,-15,C Major,4,2023-12-27,3xBKKql8M1iGZUxkiaYYlB,"ÖZER KARDEŞ KASET",8B,,https://i.scdn.co/image/ab67616d0000485113d2e51c99f18132f1caef35
328,"Aşk Nerden Nereye","Gripin",70,140,"turkish alternative, turkish pop, turkish rock","Pop, Rock","Yalnızlığın Çaresini Bulmuşlar",2012-11-07,04:57,59,59,54,0,41,0,10,-6,E Minor,4,2023-12-27,6vFHg6OAyhAWUbigiz3gn8,"AVRUPA MÜZİK YAPIM",9A,https://p.scdn.co/mp3-preview/a6cba2e300177bf1827258fc91d511c2797fd620?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513bb4426ccba314d34d5445b4
329,"İlkbaharım Kışa Döndü","Semicenk",72,86,"turkish pop","Pop","Karışık Kaset",2023-12-15,03:34,34,72,31,0,34,0,10,-5,C Minor,4,2024-01-03,3XqVExsAlVN7UDcEUjwqmy,"Eva Records & DMC",5A,https://p.scdn.co/mp3-preview/840eb260ae690836c103d42b7a1d000c5690242f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bc8e04d6c37ce05eff398ddd
330,"Tutun Sen Bana","Yüzyüzeyken Konuşuruz",74,160,"turkish alternative rock, turkish rock","Rock","KADER SK.",2023-07-07,02:43,55,50,59,0,75,0,10,-9,F#/G♭ Minor,4,2024-01-03,2AcCBpYHVbeV2IUU4iHP2Y,"SONY MUSIC TURKEY",11A,https://p.scdn.co/mp3-preview/e7a845c6268be53138aed3908f30c5948baf5adf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f3dbcc972843d2b3c2b73617
331,"Bir Zamanlar Deli Gönlüm","Sezen Aksu",69,116,"turkish pop","Pop","Firuze",1982-01-01,04:20,44,93,50,0,54,20,30,-4,F Minor,4,2024-01-05,53n0KcBZip2whfvZAeuZmU,"SN Music",4A,https://p.scdn.co/mp3-preview/5fa8f255deb868503a208f591ba7aa588163662f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485117afafa6b7cccfe930e2002d
332,"Aşk Oyunu","Kenan Doğulu",43,138,"turkish pop","Pop","Yaparım Bilirsin",1993-09-07,04:55,48,37,67,0,52,0,20,-10,D Minor,4,2024-01-07,2uuwX6GfbkBWAmg9yAxeDw,"Doğulu Music",7A,,https://i.scdn.co/image/ab67616d0000485145c47742232ed709e3e9ef34
333,"Baş Harfi Ben","Kenan Doğulu",62,168,"turkish pop","Pop","Festival",2006-06-13,03:35,58,64,46,0,67,0,30,-8,B Minor,4,2024-01-07,3ZGdgkYBOPhumjVBk7rCxb,"Doğulu Music",10A,https://p.scdn.co/mp3-preview/8a565ff20f0e4433432f54c99043ff35b0fb4c7a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca2a0ee424df2f638e461d00
334,"Aç Bu Şarkıyı","İkilem",64,178,"turkish alt pop, turkish pop","Pop","Aç Bu Şarkıyı",2023-02-03,03:24,69,50,40,0,50,20,30,-9,A Minor,4,2024-01-19,5irNR3RveSCf2kRTLLo3j8,"AVRUPA MÜZİK YAPIM",8A,https://p.scdn.co/mp3-preview/a39cad2f044f5f4f9ef249b23806b715fa9ee84b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f0ac2dafe36641fdf3fff8f5
